id,brand,categories,ingredients,manufacturer,manufacturerNumber,name,text_corpus
292,M&M'S,"Other Grocery,Food,Chocolate","m & m's milk chocolate: milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, soy lecithin, pgpr, salt, artificial and natural flavors),sugar,cornstarch,less than 1% of corn syrup,dextrin,coloring (including blue 1 lake, yellow 6, red 40, yellow 5, blue 1, yellow 6 lake, red 40 lake, yellow 5 lake, blue 2, blue 2 lake),gum acacia. m & m's peanut: milk chocolate (sugar, chocolate, cocoa butter, skim milk, lactose, milkfat, soy lecithin, salt, artificial flavors),sugar,peanuts,cornstarch,less than 1% of corn syrup,dextrin,coloring (including blue 1 lake, yellow 6, red 40, yellow 5, blue 1, yellow 6 lake, red 40 lake, yellow 5 lake, blue 2 lake, blue 2),gum acacia. m & m's milk chocolate: contains milk and soy. may contain peanuts. m & m's peanut: contains peanuts,milk and soy. may contain tree nuts.",Mars Chocolate,329827,"M&M'S Milk Chocolate & Peanut Candy, 42 Oz, (Pack Of 2)","This product is a M&M'S Milk Chocolate & Peanut Candy, 42 Oz, (Pack Of 2) from the brand M&M'S. It falls under the category of other grocery,food,chocolate and contains ingredients such as m & m's milk chocolate: milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, soy lecithin, pgpr, salt, artificial and natural flavors),sugar,cornstarch,less than 1% of corn syrup,dextrin,coloring (including blue 1 lake, yellow 6, red 40, yellow 5, blue 1, yellow 6 lake, red 40 lake, yellow 5 lake, blue 2, blue 2 lake),gum acacia. m & m's peanut: milk chocolate (sugar, chocolate, cocoa butter, skim milk, lactose, milkfat, soy lecithin, salt, artificial flavors),sugar,peanuts,cornstarch,less than 1% of corn syrup,dextrin,coloring (including blue 1 lake, yellow 6, red 40, yellow 5, blue 1, yellow 6 lake, red 40 lake, yellow 5 lake, blue 2 lake, blue 2),gum acacia. m & m's milk chocolate: contains milk and soy. may contain peanuts. m & m's peanut: contains peanuts,milk and soy. may contain tree nuts.. It is manufactured by mars chocolate (manufacturer code: 329827)."
293,Jif,"Grocery,Peanut Butter,Food","made from roasted peanuts and sugar,contains 2 or less of: molasses,fully hydrogenated vegetable oils (rapeseed and soybean),mono- and diglycerides,salt.",The J.M. Smucker Company,228150,Jif Peanut Butter Creamy 16 Oz,"This product is a Jif Peanut Butter Creamy 16 Oz from the brand Jif. It falls under the category of grocery,peanut butter,food and contains ingredients such as made from roasted peanuts and sugar,contains 2 or less of: molasses,fully hydrogenated vegetable oils (rapeseed and soybean),mono- and diglycerides,salt.. It is manufactured by the j.m. smucker company (manufacturer code: 228150)."
294,Muir Glen,"Condiments,Food,grocery","tomato puree* (tomato paste*, water),naturally milled sugar*,vinegar*,sea salt,onion powder*,garlic powder*,cayenne pepper*,natural flavor. *organic.",General Mills,271510,"Muir Glen Organic Tomato Ketchup, 24 Oz","This product is a Muir Glen Organic Tomato Ketchup, 24 Oz from the brand Muir Glen. It falls under the category of condiments,food,grocery and contains ingredients such as tomato puree* (tomato paste*, water),naturally milled sugar*,vinegar*,sea salt,onion powder*,garlic powder*,cayenne pepper*,natural flavor. *organic.. It is manufactured by general mills (manufacturer code: 271510)."
295,DeLallo,"Food,Canned Vegetables,Grocery","quartered artichoke hearts,water,vegetable oil (soybean or sunflower oil),vinegar,salt,spices,citric and ascorbic acid (to preserve color),.",George Delallo Co,190955,"Delallo Quartered & Marinated Artichoke Hearts, 6 Oz","This product is a Delallo Quartered & Marinated Artichoke Hearts, 6 Oz from the brand DeLallo. It falls under the category of food,canned vegetables,grocery and contains ingredients such as quartered artichoke hearts,water,vegetable oil (soybean or sunflower oil),vinegar,salt,spices,citric and ascorbic acid (to preserve color),.. It is manufactured by george delallo co (manufacturer code: 190955)."
296,AriZona,"Beverages,Food,Juice,Grocery","filtered water,high fructose corn syrup (glucose-fructose syrup),pear juice from concentrate,mango puree,apple juice from concentrate,citric acid,pineapple juice from concentrate,natural flavors,vegetable juice (for color),strawberry juice from concentrate,ascorbic acid (vitamin c),cherry juice from concentrate,gum acacia.",AriZona Beverages USA,71876,Fruit Punch,"This product is a Fruit Punch from the brand AriZona. It falls under the category of beverages,food,juice,grocery and contains ingredients such as filtered water,high fructose corn syrup (glucose-fructose syrup),pear juice from concentrate,mango puree,apple juice from concentrate,citric acid,pineapple juice from concentrate,natural flavors,vegetable juice (for color),strawberry juice from concentrate,ascorbic acid (vitamin c),cherry juice from concentrate,gum acacia.. It is manufactured by arizona beverages usa (manufacturer code: 71876)."
297,Goya Food,"Food,Beans,Grocery","pimientos,water,salt citric acid.","GOYA FOODS, INC.",3928,"Goya Fancy Pimientos, 6.5 Oz","This product is a Goya Fancy Pimientos, 6.5 Oz from the brand Goya Food. It falls under the category of food,beans,grocery and contains ingredients such as pimientos,water,salt citric acid.. It is manufactured by goya foods, inc. (manufacturer code: 3928)."
298,Campbell's,"Soups,Food,Grocery","water,chicken stock,spaetzle dumplings (enriched flour wheat flour, ferrous sulfate, niacin, thiamine mononitrate, riboflavin, folic acid, water, eggs, parsley, spice, spice extract, salt, turmeric for color),chicken meat,carrots,celery,vegetable oil,contains less than 2 of: green beans,peas,modified food starch,salt,wheat flour,soy protein concentrate,monosodium glutamate,sugar,dehydrated onions,sodium phosphate,flavoring,beta carotene for color,spice,dehydrated chicken,butter (cream milk),cream powder (cream milk, soy lecithin),chicken fat.",Campbell Soup Company,19553,"Campbell'S Chunky Creamy Chicken & Dumplings Family Size Soup, 50.0 Oz","This product is a Campbell'S Chunky Creamy Chicken & Dumplings Family Size Soup, 50.0 Oz from the brand Campbell's. It falls under the category of soups,food,grocery and contains ingredients such as water,chicken stock,spaetzle dumplings (enriched flour wheat flour, ferrous sulfate, niacin, thiamine mononitrate, riboflavin, folic acid, water, eggs, parsley, spice, spice extract, salt, turmeric for color),chicken meat,carrots,celery,vegetable oil,contains less than 2 of: green beans,peas,modified food starch,salt,wheat flour,soy protein concentrate,monosodium glutamate,sugar,dehydrated onions,sodium phosphate,flavoring,beta carotene for color,spice,dehydrated chicken,butter (cream milk),cream powder (cream milk, soy lecithin),chicken fat.. It is manufactured by campbell soup company (manufacturer code: 19553)."
299,Kettle Brand,"Chips,Food,Grocery","potatoes,safflower and/or sunflower and/or canola oil,organic dried cane syrup,sea salt,vinegar powder (maltodextrin, white distilled vinegar),tomato powder,yeast extract,garlic powder,onion powder,blue cheese solids (milk, salt, cultures, enzymes),whey,spices,cayenne pepper,citric acid,parsley flakes,tapioca dextrin,paprika extract (color),rice flour,natural butter flavor,nonfat milk,natural smoke flavor,lactic acid,natural flavor.",KETTLE BRAND,831974,"Kettle Potato Chips, Buffalo Bleu","This product is a Kettle Potato Chips, Buffalo Bleu from the brand Kettle Brand. It falls under the category of chips,food,grocery and contains ingredients such as potatoes,safflower and/or sunflower and/or canola oil,organic dried cane syrup,sea salt,vinegar powder (maltodextrin, white distilled vinegar),tomato powder,yeast extract,garlic powder,onion powder,blue cheese solids (milk, salt, cultures, enzymes),whey,spices,cayenne pepper,citric acid,parsley flakes,tapioca dextrin,paprika extract (color),rice flour,natural butter flavor,nonfat milk,natural smoke flavor,lactic acid,natural flavor.. It is manufactured by kettle brand (manufacturer code: 831974)."
300,Louisiana,"Condiments,Food,Grocery","peppers,vinegar and salt.",Bruce Foods Corp.,1760002176,"Louisiana Original Hot Sauce, 32 Fl Oz","This product is a Louisiana Original Hot Sauce, 32 Fl Oz from the brand Louisiana. It falls under the category of condiments,food,grocery and contains ingredients such as peppers,vinegar and salt.. It is manufactured by bruce foods corp. (manufacturer code: 1760002176)."
301,Twinings,"Food,Beverages,Tea,Grocery",decaffeinated green tea.,R.Twining and Company Limited,5479,Decaffeinated Green Tea 6 Units,"This product is a Decaffeinated Green Tea 6 Units from the brand Twinings. It falls under the category of food,beverages,tea,grocery and contains ingredients such as decaffeinated green tea.. It is manufactured by r.twining and company limited (manufacturer code: 5479)."
302,Girard's,"Food,Salad Dressings,Grocery","water,sugar,corn cider and distilled vinegar,soybean oil,modified corn starch,bacon (cured with: water, salt, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite),salt,onion*,spices,natural flavor,xanthan gum,molasses,corn syrup,caramel color,garlic*,tamarind,calcium disodium edta added to protect flavor. *dehydrated.",T. Marzetti,58159,"Girard'S Spinach Salad Dressing, 12 Fl Oz","This product is a Girard'S Spinach Salad Dressing, 12 Fl Oz from the brand Girard's. It falls under the category of food,salad dressings,grocery and contains ingredients such as water,sugar,corn cider and distilled vinegar,soybean oil,modified corn starch,bacon (cured with: water, salt, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite),salt,onion*,spices,natural flavor,xanthan gum,molasses,corn syrup,caramel color,garlic*,tamarind,calcium disodium edta added to protect flavor. *dehydrated.. It is manufactured by t. marzetti (manufacturer code: 58159)."
303,Del Monte Quality,"Food,Canned Vegetables,Grocery","spinach,water,salt.",Del Monte Consumer Products,16517,"Del Monte Leaf Spinach, 7.75 Oz","This product is a Del Monte Leaf Spinach, 7.75 Oz from the brand Del Monte Quality. It falls under the category of food,canned vegetables,grocery and contains ingredients such as spinach,water,salt.. It is manufactured by del monte consumer products (manufacturer code: 16517)."
304,Blue Bird Bakeries,"Food,Snack Cakes,Grocery","sugar,water,corn syrup,enriched unbleached and bleached wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid),high fructose corn syrup,soybean oil,palm oil,eggs,cocoa (natural and processed with alkali),contains 2% or less of each of the following: modified food starch,dextrose,leavening (baking soda, sodium acid pyrophosphate, monocalcium),cornstarch,calcium carbonate,wheat gluten,mono- and diglycerides,chocolate liquor,salt,calcium sulfate,methylcellulose,agar,coy lecithin,datem,sodium stearoyl lactylate,cellulose gum,polysorbate 60,guar gum,titanium dioxide (color),artificial flavors,lactic acid,sorbitan monostearate,sodium hexametaphosphate,annatto (color),turmeric (color),citric acid,xanthan gum,caramel color,preserved with potassium sorbate,sodium propionate,and sodium benzoate. manufactured on shared equipment that also processes products containing tree nuts and peanuts.",Flowers Foods,FLOWER723535102,"Blue Bird Bakeries Chocolate Cupcakes, 6Ct","This product is a Blue Bird Bakeries Chocolate Cupcakes, 6Ct from the brand Blue Bird Bakeries. It falls under the category of food,snack cakes,grocery and contains ingredients such as sugar,water,corn syrup,enriched unbleached and bleached wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid),high fructose corn syrup,soybean oil,palm oil,eggs,cocoa (natural and processed with alkali),contains 2% or less of each of the following: modified food starch,dextrose,leavening (baking soda, sodium acid pyrophosphate, monocalcium),cornstarch,calcium carbonate,wheat gluten,mono- and diglycerides,chocolate liquor,salt,calcium sulfate,methylcellulose,agar,coy lecithin,datem,sodium stearoyl lactylate,cellulose gum,polysorbate 60,guar gum,titanium dioxide (color),artificial flavors,lactic acid,sorbitan monostearate,sodium hexametaphosphate,annatto (color),turmeric (color),citric acid,xanthan gum,caramel color,preserved with potassium sorbate,sodium propionate,and sodium benzoate. manufactured on shared equipment that also processes products containing tree nuts and peanuts.. It is manufactured by flowers foods (manufacturer code: flower723535102)."
305,Annie's,"Food,Fruit Snacks,Grocery","organic tapioca syrup,organic cane sugar,organic tapioca syrup solids,organic white grape juice concentrate,pectin,citric acid,ascorbic acid,color (organic black carrot),natural flavors,sodium citrate,organic sunflower oil,carnauba wax.",Annie's Homegrown,B60192,Annie'S Organic Berry Patch Fruit Snack (9X2.75Oz),"This product is a Annie'S Organic Berry Patch Fruit Snack (9X2.75Oz) from the brand Annie's. It falls under the category of food,fruit snacks,grocery and contains ingredients such as organic tapioca syrup,organic cane sugar,organic tapioca syrup solids,organic white grape juice concentrate,pectin,citric acid,ascorbic acid,color (organic black carrot),natural flavors,sodium citrate,organic sunflower oil,carnauba wax.. It is manufactured by annie's homegrown (manufacturer code: b60192)."
306,Utz,"Chips,Food,Grocery","potatoes,cottonseed oil,salt,sugar,paprika,onion,torula yeast,corn starch,spices yellow corn flour,artificial color (fdc red 40 lake, fdc yellow 6 lake),mono and diglycerides,garlic,natural flavor,extractive of paprika,disodium inosinate,disodium guanylate. contains no hydrogenated fats.","UTZ Quality Foods, Inc.",6ADXWFHR5T60,"Utz Potato Chips Red Hot, 1.87 Oz","This product is a Utz Potato Chips Red Hot, 1.87 Oz from the brand Utz. It falls under the category of chips,food,grocery and contains ingredients such as potatoes,cottonseed oil,salt,sugar,paprika,onion,torula yeast,corn starch,spices yellow corn flour,artificial color (fdc red 40 lake, fdc yellow 6 lake),mono and diglycerides,garlic,natural flavor,extractive of paprika,disodium inosinate,disodium guanylate. contains no hydrogenated fats.. It is manufactured by utz quality foods, inc. (manufacturer code: 6adxwfhr5t60)."
307,INTERNATIONAL C,"Baking,Food,Grocery","olive oil,balsamic vinegar,dried basil,extracts of basil,black pepper and garlic.",Sun Luck,B82762,"International Collection Bread Dipping Olive Oil With Balsamic Vinegar & Italian Herbs, 8.45 Fl Oz","This product is a International Collection Bread Dipping Olive Oil With Balsamic Vinegar & Italian Herbs, 8.45 Fl Oz from the brand INTERNATIONAL C. It falls under the category of baking,food,grocery and contains ingredients such as olive oil,balsamic vinegar,dried basil,extracts of basil,black pepper and garlic.. It is manufactured by sun luck (manufacturer code: b82762)."
308,Utz,"Chips,Food,Grocery","potatoes,cottonseed oil,dehydrated whey,dextrose,salt,shortening powder partially hydrogenated soybean oil,corn syrup solids,sodium caseinate (milk derivative),dehydrated sour cream sour cream (cream, nonfat milk, cultures),cultured nonfat milk,citric acid,dehydrated onion,sugar,citric acid,dehydrated parsley,garlic powder,artificial flavor,disodium inosinate and disodium guanylate.","UTZ Quality Foods, Inc.",2BYTAYVEZCWL,"Utz Potato Chips Sour Cream And Onion Flavored, 1.875 Oz","This product is a Utz Potato Chips Sour Cream And Onion Flavored, 1.875 Oz from the brand Utz. It falls under the category of chips,food,grocery and contains ingredients such as potatoes,cottonseed oil,dehydrated whey,dextrose,salt,shortening powder partially hydrogenated soybean oil,corn syrup solids,sodium caseinate (milk derivative),dehydrated sour cream sour cream (cream, nonfat milk, cultures),cultured nonfat milk,citric acid,dehydrated onion,sugar,citric acid,dehydrated parsley,garlic powder,artificial flavor,disodium inosinate and disodium guanylate.. It is manufactured by utz quality foods, inc. (manufacturer code: 2bytayvezcwl)."
309,Captain's Wafers,"Food,Crackers,Grocery","enriched wheat flour (containing niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid),peanuts,vegetable oil (contains one or more of the following vegetable oils: canola oil, corn oil, palm oil, soybean oil),sugar,dextrose,high fructose corn syrup,salt,corn syrup,leavening (sodium bicarbonate, monocalcium phosphate),honey powder (honey, wheat starch),molasses powder,guar gum,artificial flavor,enzymes. contains: wheat,peanuts. allergy information: this product is manufactured in a facility that also processes peanut containing products.",Lance Inc.,7641052146,"Captain'S Wafers Peanut Butter And Honey Crackers, 8Ct","This product is a Captain'S Wafers Peanut Butter And Honey Crackers, 8Ct from the brand Captain's Wafers. It falls under the category of food,crackers,grocery and contains ingredients such as enriched wheat flour (containing niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid),peanuts,vegetable oil (contains one or more of the following vegetable oils: canola oil, corn oil, palm oil, soybean oil),sugar,dextrose,high fructose corn syrup,salt,corn syrup,leavening (sodium bicarbonate, monocalcium phosphate),honey powder (honey, wheat starch),molasses powder,guar gum,artificial flavor,enzymes. contains: wheat,peanuts. allergy information: this product is manufactured in a facility that also processes peanut containing products.. It is manufactured by lance inc. (manufacturer code: 7641052146)."
310,Newman's Own,"Food,Condiments,Grocery","wine vinegar from organic grapes,organic concentrated cooked grape must.",NEWMAN'S OWN,328070,Newman'S Own Balsamic Vinegar 8.5 Oz (Pack Of 6),"This product is a Newman'S Own Balsamic Vinegar 8.5 Oz (Pack Of 6) from the brand Newman's Own. It falls under the category of food,condiments,grocery and contains ingredients such as wine vinegar from organic grapes,organic concentrated cooked grape must.. It is manufactured by newman's own (manufacturer code: 328070)."
311,Badia,"Beverages,Tea,Food,Grocery",100 cassia acutifolia.,Badia Spices,881227,Nat Herbs Tea,"This product is a Nat Herbs Tea from the brand Badia. It falls under the category of beverages,tea,food,grocery and contains ingredients such as 100 cassia acutifolia.. It is manufactured by badia spices (manufacturer code: 881227)."
312,Welch's,"Food,Fruit Snacks,Grocery","fruit puree (grape and strawberry),corn syrup,sugar,modified corn starch,gelatin,citric acid,lactic acid,natural and artificial flavors,ascorbic acid (vitamin c),alpha tocopherol acetate (vitamin e),vitamin a palmitate,sodium citrate,coconut oil,carnauba wax,and red 40.",Promotion in Motion Inc.,MCLANE500202648,Welchs Strawberry Fruit Snacks,"This product is a Welchs Strawberry Fruit Snacks from the brand Welch's. It falls under the category of food,fruit snacks,grocery and contains ingredients such as fruit puree (grape and strawberry),corn syrup,sugar,modified corn starch,gelatin,citric acid,lactic acid,natural and artificial flavors,ascorbic acid (vitamin c),alpha tocopherol acetate (vitamin e),vitamin a palmitate,sodium citrate,coconut oil,carnauba wax,and red 40.. It is manufactured by promotion in motion inc. (manufacturer code: mclane500202648)."
313,Manuka Doctor,"Food,Honey,grocery","honey,fructose,lemon juice concentrate (4%),lemon oil.",Manuka Doctor,MKD04255,"Manuka Doctor Honey With Lemon 15+, 17.6 Oz (Pack Of 3)","This product is a Manuka Doctor Honey With Lemon 15+, 17.6 Oz (Pack Of 3) from the brand Manuka Doctor. It falls under the category of food,honey,grocery and contains ingredients such as honey,fructose,lemon juice concentrate (4%),lemon oil.. It is manufactured by manuka doctor (manufacturer code: mkd04255)."
314,Starbucks,"Coffee,Food,Grocery",100 arabicacoffee.,STARBUCKS COFFEE COMPANY,7.62112E+11,Starbucksï¿½Ï¿½ Pike Placeï¿½Ï¿½ Roast Coffee K-Cupï¿½Ï¿½ Pods 10 Ct Box,"This product is a Starbucksï¿½Ï¿½ Pike Placeï¿½Ï¿½ Roast Coffee K-Cupï¿½Ï¿½ Pods 10 Ct Box from the brand Starbucks. It falls under the category of coffee,food,grocery and contains ingredients such as 100 arabicacoffee.. It is manufactured by starbucks coffee company (manufacturer code: 7.62112e+11)."
315,Zatarain's,"Food,Baking,Grocery","enriched bleached wheat flour (wheat & malt barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid),salt,spice,leavening (sodium aluminum phosphate, sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate),monosodium glutamate (flavor enhancer),garlic,natural flavor,lemon puree,and lemon juice.",ZATARAINS,287326,"Zatarains Breading Mix, Chicken, Chicken Frying Mix, Crispy Southern","This product is a Zatarains Breading Mix, Chicken, Chicken Frying Mix, Crispy Southern from the brand Zatarain's. It falls under the category of food,baking,grocery and contains ingredients such as enriched bleached wheat flour (wheat & malt barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid),salt,spice,leavening (sodium aluminum phosphate, sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate),monosodium glutamate (flavor enhancer),garlic,natural flavor,lemon puree,and lemon juice.. It is manufactured by zatarains (manufacturer code: 287326)."
316,Reese,"Vinegar,Food,Grocery","sherry wine,salt,potassium metabisulfite (preservative),.",Tree of Life,1074772,Cooking Wine,"This product is a Cooking Wine from the brand Reese. It falls under the category of vinegar,food,grocery and contains ingredients such as sherry wine,salt,potassium metabisulfite (preservative),.. It is manufactured by tree of life (manufacturer code: 1074772)."
317,Blue Diamond,"grocery,Food,Snacks","almonds,vegetable oil (canola, safflower and/or sunflower),sea salt.",Blue Diamond Growers,MCLANE500310722,Blue Diamondï¿½Ï¿½ Roasted Salted Almonds 1.5 Oz. Tube,"This product is a Blue Diamondï¿½Ï¿½ Roasted Salted Almonds 1.5 Oz. Tube from the brand Blue Diamond. It falls under the category of grocery,food,snacks and contains ingredients such as almonds,vegetable oil (canola, safflower and/or sunflower),sea salt.. It is manufactured by blue diamond growers (manufacturer code: mclane500310722)."
318,Tully's Coffee,"Grocery,Coffee,Food","made with 100 arabica coffee. 12 ea qty 6,keurig brewed.,for keurig k-cup brewing systems.,not for keurig vue brewing systems.,for use in all keurig k-cup brewers. extra bold.,handcrafted quality of the pacific northwest. some professionals need.,to approach their jobs slowly and with a great deal of care. like tightrope walkers.,or brain surgeons. or tattoo artists. at tully's,the same holds true for creating great coffee.,it takes a lot of time and patience,which is why we slow roast our coffee beans to gently coax out the complex flavors and aromas.,with roots in the pacific northwest,where coffee is a way of life,we take our time in roasting and in training each master roaster in our artisanal approach.,from the aroma to the full-bodied flavor,you can taste the time taken in every satisfying cup of tully's' coffee.,now we invite you to take your time discovering it. facebook.com/tullyscoffee. brewing a better world together. brewingabetterworld.com.,keurig brewed is our promise.,since the beginning,we've been dedicated to the art and science of bringing you the coffee you love,every time.,always look for the keurig brewed seal.,the only mark of genuine keurig quality.,a smoky,decadent tale. our most popular roast.,french roast is the ultimate coffee story,as written in a parisian cafe: powerful and intense,with a bittersweet end.,made with 100 arabica coffee.,for more information contact: green mountain coffee roasters,inc. for brewer inquiries contact: 1-866-901-brew/1-866-901-2739. find us on facebook.com/keurig or twitter.com/keurig.,this package is made with a minimum of 35 post-consumer materials. printed in the usa.",Green Mountain Coffee,7249,Tullys Coffee Dark Roast,"This product is a Tullys Coffee Dark Roast from the brand Tully's Coffee. It falls under the category of grocery,coffee,food and contains ingredients such as made with 100 arabica coffee. 12 ea qty 6,keurig brewed.,for keurig k-cup brewing systems.,not for keurig vue brewing systems.,for use in all keurig k-cup brewers. extra bold.,handcrafted quality of the pacific northwest. some professionals need.,to approach their jobs slowly and with a great deal of care. like tightrope walkers.,or brain surgeons. or tattoo artists. at tully's,the same holds true for creating great coffee.,it takes a lot of time and patience,which is why we slow roast our coffee beans to gently coax out the complex flavors and aromas.,with roots in the pacific northwest,where coffee is a way of life,we take our time in roasting and in training each master roaster in our artisanal approach.,from the aroma to the full-bodied flavor,you can taste the time taken in every satisfying cup of tully's' coffee.,now we invite you to take your time discovering it. facebook.com/tullyscoffee. brewing a better world together. brewingabetterworld.com.,keurig brewed is our promise.,since the beginning,we've been dedicated to the art and science of bringing you the coffee you love,every time.,always look for the keurig brewed seal.,the only mark of genuine keurig quality.,a smoky,decadent tale. our most popular roast.,french roast is the ultimate coffee story,as written in a parisian cafe: powerful and intense,with a bittersweet end.,made with 100 arabica coffee.,for more information contact: green mountain coffee roasters,inc. for brewer inquiries contact: 1-866-901-brew/1-866-901-2739. find us on facebook.com/keurig or twitter.com/keurig.,this package is made with a minimum of 35 post-consumer materials. printed in the usa.. It is manufactured by green mountain coffee (manufacturer code: 7249)."
319,Prego,"Food,Sauces,Grocery","tomato puree (water, tomato paste),mushrooms,onions,sugar,canola oil,contains less than 1 of: salt,garlic,citric acid,spice,onion extract,garlic extract.",Campbell Soup Company,5100011464,Prego Chunky Garden Mushroom Supreme Italian Sauce 23.75Oz,"This product is a Prego Chunky Garden Mushroom Supreme Italian Sauce 23.75Oz from the brand Prego. It falls under the category of food,sauces,grocery and contains ingredients such as tomato puree (water, tomato paste),mushrooms,onions,sugar,canola oil,contains less than 1 of: salt,garlic,citric acid,spice,onion extract,garlic extract.. It is manufactured by campbell soup company (manufacturer code: 5100011464)."
320,Bahlsen,"Food,Chocolate,Grocery","sugar,chocolate liquor,wheat flour,palm oil shortening,hazelnuts,cocoa butter,whey,low fat cocoa powder,sweet whey powder,butter oil,sunflower lecithin,milk,liquid invert sugar,natural flavoring,salt,sodium bicarbonate,skim milk,egg yolk,spice.",Bahlsen,885798,"Bahlsen Wafers, Hazelnut, Dark Chocolate","This product is a Bahlsen Wafers, Hazelnut, Dark Chocolate from the brand Bahlsen. It falls under the category of food,chocolate,grocery and contains ingredients such as sugar,chocolate liquor,wheat flour,palm oil shortening,hazelnuts,cocoa butter,whey,low fat cocoa powder,sweet whey powder,butter oil,sunflower lecithin,milk,liquid invert sugar,natural flavoring,salt,sodium bicarbonate,skim milk,egg yolk,spice.. It is manufactured by bahlsen (manufacturer code: 885798)."
321,Alessi,"Condiments,Food,Grocery",red wine vinegar.,Alessi,870501,"Alessi Vinegar, Red Wine","This product is a Alessi Vinegar, Red Wine from the brand Alessi. It falls under the category of condiments,food,grocery and contains ingredients such as red wine vinegar.. It is manufactured by alessi (manufacturer code: 870501)."
322,Snapple,"Food,Beverages,Tea,Grocery","our real tea starts with the finest tea leaves and is made from: filtered water,sugar,citric acid,tea,natural flavors.",Snapple Beverage Corp,7618332356,"Snapple Peach Tea, 32 Fl Oz","This product is a Snapple Peach Tea, 32 Fl Oz from the brand Snapple. It falls under the category of food,beverages,tea,grocery and contains ingredients such as our real tea starts with the finest tea leaves and is made from: filtered water,sugar,citric acid,tea,natural flavors.. It is manufactured by snapple beverage corp (manufacturer code: 7618332356)."
323,Dole Fruit Bowls,"Food,Canned Fruit,Grocery","apples,clarified pineapple juice from concentrate (water, clarified pineapple juice concentrate),white grape juice from concentrate (water, white grape juice concentrate),lemon juice from concentrate (water, lemon juice concentrate),ascorbic acid (to promote color retention),natural flavors,and citric acid.",Dole Packaged Foods. LLC,1.00389E+13,Doleï¿½Ï¿½ Diced Apples In 100% Fruit Juice 4-4 Oz. Cups,"This product is a Doleï¿½Ï¿½ Diced Apples In 100% Fruit Juice 4-4 Oz. Cups from the brand Dole Fruit Bowls. It falls under the category of food,canned fruit,grocery and contains ingredients such as apples,clarified pineapple juice from concentrate (water, clarified pineapple juice concentrate),white grape juice from concentrate (water, white grape juice concentrate),lemon juice from concentrate (water, lemon juice concentrate),ascorbic acid (to promote color retention),natural flavors,and citric acid.. It is manufactured by dole packaged foods. llc (manufacturer code: 1.00389e+13)."
324,Trident,"Food,Gum,Grocery","maltitol,gum base,sorbitol,maltitol syrup,glycerin,natural and artificial flavoring; less than 2% of: acesulfame potassium,aspartame,blue 1,candelilla wax,gelatin,soy lecithin,titanium dioxide (color),and xanthan gum. phenylketonurics: contains phenylalanine.",kraft foods snacks & confectionery,67126,"Trident Splash Peppermint Swirl Center-Filled Sugar Free Gum, 9 Count","This product is a Trident Splash Peppermint Swirl Center-Filled Sugar Free Gum, 9 Count from the brand Trident. It falls under the category of food,gum,grocery and contains ingredients such as maltitol,gum base,sorbitol,maltitol syrup,glycerin,natural and artificial flavoring; less than 2% of: acesulfame potassium,aspartame,blue 1,candelilla wax,gelatin,soy lecithin,titanium dioxide (color),and xanthan gum. phenylketonurics: contains phenylalanine.. It is manufactured by kraft foods snacks & confectionery (manufacturer code: 67126)."
325,Utz,"Chips,Food,Grocery","potatoes,peanut oil,sugar,fructose,salt,cream,cheddar and blue cheeses (milk, cheese cultures, salt, enzymes),onion powder,paprika,tomato powder,whey,maltodextrin,spice,annatto,lactose,extractives of paprika and turmeric,garlic powder,lactic acid,malic acid,nonfat milk,parsley,citric acid,natural hickory smoke flavor,natural flavor. this is a gluten free food.",Utz Quality Foods,174,"Utz Kettle Classics Crunchy Smokin Sweet Bbq Flavored Potato Chips, 1.875 Oz","This product is a Utz Kettle Classics Crunchy Smokin Sweet Bbq Flavored Potato Chips, 1.875 Oz from the brand Utz. It falls under the category of chips,food,grocery and contains ingredients such as potatoes,peanut oil,sugar,fructose,salt,cream,cheddar and blue cheeses (milk, cheese cultures, salt, enzymes),onion powder,paprika,tomato powder,whey,maltodextrin,spice,annatto,lactose,extractives of paprika and turmeric,garlic powder,lactic acid,malic acid,nonfat milk,parsley,citric acid,natural hickory smoke flavor,natural flavor. this is a gluten free food.. It is manufactured by utz quality foods (manufacturer code: 174)."
